ten_quan,url_goc,diem_review,noi_dung
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,9.2,"Tối nay mưa to tự nhiên thèm cơm sườn ở Hoa Đông. 
Trời mưa quân không đông khách lắm nên ra món khá nhanh.
Miếng sườn to ú nụ và dày như bàn tay ạ, ăn rất ngon cắn rất sướng miện ạ.
Nước chấm ngon ngọt mình cực thích nước chấm ở đây. Nước chấm của bún chả và cơm sườn là một loại. Vừa ngọt vừa sánh ko cay lắm, nêm nếm rất vừa miệng 👍"
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,9.2,"Mình là khách quen của quán! Mình hay ăn sáng và ăn tối ở đây.
Mình thử gần hết các món của quán rồi. Khá ngon!
Bánh canh cua ngon, nước lèo đặc quánh sền sệt 😊
Lúc nãy ăn thử món chạo tôm thấy không ngon lắm.
1 phần chạo tôm 120.000 ăn no luôn, thấy cục to đùng vậy chứ phần chạo bao bên ngoài khá mỏng vì bên trong là khúc mía to nhé!
Thỉnh thoảng ngồi ăn nghe chủ quán và nhân viên bàn tính chuyện đóng hụi rất rôm rả 🤣
Buổi trưa ở đây dù có máy quạt nhưng hơi nóng ạ!
Lần sau ăn món khác mình lại viết tiếp preview cho Foody nữa nhé!"
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,7.8,"Bún thịt nướng ở đây là quá không phải ăn như mình hay ăn mà phải để bún vào tô rồi để rau để thịt rồi chang nước từ thịt vào. Ăn khá lạ nhưng cũng ổn.
Quán hơi cũ, dạng quán ăn gia đình, bình dân nhưng gia cũng tầm 70k trở lên, khá đắt.
Nhân viên phục vụ hơi chậm ko tươi cười cho lắm
Nhìn chung cũng tạm"
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,8.6,"Mình preview tiếp nhé! Đặc sản của quán là bún chả, bún thịt nướng. Ngoài ra quán còn có các món khác như: bún thang, bún bung, bánh canh, miến xào cua, miến gà, cơm sườn, phở... các món có theo ngày trong tuần chứ không phải ngày nào cũng có. 
Cơm sườn ở đây khá ngon, miếng sườn to nướng than thơm ngát, nước mắm bún chả và nước cơm sườn pha khá ngon, mặn ngọt vừa phải.
Nếu đến quán tầm giờ cơm trưa thì không gian khá hầm và oi bức vì trần nhà thấp, quán đông người mà chỉ có quạt nên chịu khó chút ạ!
Dù giá hơi cao do ngay khu vực chợ Bến Thành nhưng quán khá đông khách quen, khách du lịch.
Lần sau mình sẽ thử các món khác và viết preview tiếp cho Foody nhé!"
Hoa Đông Quán - Bún Chả,https://www.foody.vn/ho-chi-minh/hoa-dong-quan-bun-cha,8.2,"Thỉnh thoảng mình hay ăn sáng ở đây! Quán này chuyên về bún chả. Nếu vào đây mà bạn gọi bún thịt nướng thì phục vụ sẽ bưng ra cho bạn một phần ăn y như bún chả. Tóm lại ở đây bún chả hay bún thịt nướng là như nhau 😂
Mình hay ăn bún thịt nướng, nem cua rán ở đây. Nem cua rán khá ngon, giòn, nêm nếm vừa phải, ăn rất vừa miệng.
Ở đây là dạng quán ăn bình dân nhưng do vị trí ngay khu trung tâm Q.1 gần chợ Bến Thành nên giá tương đối cao. Phục vụ ở đây đa phần là các cô, các chị lớn tuổi kiêm luôn phụ bếp nên đôi khi các cô hơi chậm.
Vì là quán ăn lâu đời nên quán cũng có một lượng khách quen nhất định."
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,3.8,"Mình vừa mua 1 phần bánh tằm. Trước đó mình cũng từng ăn hủ tíu ở đây nhưng lần này bánh tằm làm mình thật sự THẤT VỌNG. Sợi bánh là sợi hủ tíu chứ ko phải bánh tằm. Nước cốt dừa chưa đủ độ béo. Nước mắm thì ngọt quá. Phần bánh tằm như một phần chè.
Trước đây đi Miền Tây mình ăn bánh tằm ở chợ mà ngon gấp mấy lần."
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,4.2,"Ủa sao kì vậy, mua thịt băm cho em bé, mình tưởng thịt băm là thịt xay xào lên chứ, thịt này thì em bé ăn sao được. Quán làm ăn gì kì vậy?"
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,9.4,"Cảm ơn quán Dì Năm đã tài trợ nhóm nhân viên Chợ Rẫy chống dịch Covid tại BV Bình Chánh. Mọi người đều khen ngon, topping nhiều, ăn bao no"
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,8.4,"- Menu: đa dạng và đáp ứng đủ nhu cầu từ ăn uống đến tráng miệng
- Nhân viên: nhanh nhẹn lịch sự
- Ko gian: sạch sẽ thoáng mát, tiện lợi ăn trưa ăn tối nhanh
- Món ăn: khá ngon, topping nhiều và đầy đặn, ko đậm đà lắm nhưng tươi và sạch
- Giá: rẻ so với mặt bằng trung tâm"
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,7.2,"- Giá cả: như hóa đơn
- Khẩu vị: hủ tíu nước vị cũng được.
Hủ tíu bò tô to hơn hủ tíu sa đéc.
- Không gian: phù hợp ngồi đối diện (không nên mang laptop)."
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,8.2,"We were in the mood for some hu tieu kho, so we walked to this location. The hu tieu sadec is a bit tougher than the normal hu tieu; however, with the right amount of mixing sauce, it was a perfect blend."
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,10,"Quán hủ tiếu nhiều món và chè , nước ngon sạch sẽ mọi người có thể đến ăn thử . Lần đầu đến và chắc sẽ quay lại"
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,7.6,"Mình gọi phần hủ tíu vịt ăn thử xem sao, thấy cũng ổn, nước dùng vừa phải không đậm đà.không gian thoáng mát decor kiểu Hội An, lâu lâu ghé một lần cũng ok đó"
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,6.2,"Thật mừng vì cũng có người bình luận giống với trải nghiệm của mình, mấy bình luận khác mình không biết có PR quá đà không, hay do khẩu vị từng nơi khác nhau, các bạn cứ ăn thử và xem có giống với mình không nhé (có thể do mình xui chẳng hạn):
- Nước dùng nhạt nhạt, lợ lợ, ăn thấy không liên quan lắm với hủ tiếu.
- Hủ tiếu chưa chín kỹ? Mình ăn nhiều quán rồi mà đây là trường hợp đầu tiên...
- Sườn thì nguội và khô.
Mấy phần quan trọng để ra tô hủ tiếu mà vậy thì thưởng thức gì nữa? Đầu bếp quên nếm thử chăng??"
Dì Năm Sa Đéc - Hủ Tiếu (Hủ Tíu) & Bánh Tằm,https://www.foody.vn/ho-chi-minh/di-nam-sa-dec-hu-tieu-hu-tiu-banh-tam,6.2,"Lâu rồi mới quay lại quán. Mình ăn 1 phần hủ tíu khô đầy đủ. tuy nhiên sợi hủ tíu còn cứng. nước lèo thì mặn. miếng sườn heo đi kèm thì nguội ngắc. 
nói chung là mình thấy hơi buồn vì chất lượng món ko được ngon như trước :("
Cô Tư Cà Mau - Hải Sản Sinh Thái,https://www.foody.vn/ho-chi-minh/co-tu-ca-mau-hai-san-sinh-thai,9.0,Mọi người có thể đặt hàng online tại website của Cô Tư Cà Mau: cotucamau.com
Cô Tư Cà Mau - Hải Sản Sinh Thái,https://www.foody.vn/ho-chi-minh/co-tu-ca-mau-hai-san-sinh-thai,7.2,"có hôm thèm cua nên thấy quán này gần nhà liền ghé vào ăn. cua ở đây được các bạn nhân viên khẳng định là rất chất lượng, không bị óp hay gì cả, cua năm căn hẳn hoi, và ăn rồi mình cũng xác nhận là siêu chất lượng nha.
cua thịt giá 550k/kg (khoảng 2 con), cua gạch giá 650k/kg. hôm mình đi ăn lần 2 thì quán giới thiệu có cua thịt loại lớn giá 650k, mình ok luôn là lấy loại đó, 2 con khoảng 1.4kg nha. mình đi 3 người, gọi lẩu 2 cua và 1 cơm chiên cá mặn là ăn ngập mặt luôn rồi 😂 phải tội cua to nên vỏ cũng vừa dày vừa cứng, dùng kìm ko kẹp càng được mà phải nhờ nhân viên mang vào trog lấy búa gõ mới được ))))
quán nằm ngay bờ kênh nên thoáng mát, có cả bàn vỉa hè và bên trong, nhân viên nhiệt tình"
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,7.0,"Không gian quán buổi trưa rất đông và nóng nên mọi người nên đặt chỗ phòng máy lạnh trên lâu.
Đồ ăn ổn, phục vụ đông nhưng hơi lơ là.
Thịt mềm thơm, chả cá dai thơm ngon, chả ram ăn hơi dính răng.
Mình gọi combo thì đưa ra có bún nhưng ko nói rõ bún lại tính tiền riêng, mình lại ko ăn bún nhưng nhỡ để dính vào rau nên có đem bỏ cuối cũng vẫn phải trả tiền nên ko hài lòng lắm.
Chè khúc bạch, hạt sen ngon."
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,8.2,Tuy giá có vẻ mắc cho mấy món dân dã như vầy nhưng chất lượng món ăn và dịch vụ thì khá tốt.
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,10,"Chỗ này thực đơn đa dạng hơn nhưng độ ngon không kém những Hoàng Ty chỗ khác nên mình không quan tâm lắm vụ “chính gốc” hay “không chính gốc”.

Bánh canh với giò heo, thịt nạc thì không có gì khác biệt nhưng thích nước chấm ăn kèm thịt luộc, các món cuốn như chả giò, nem nướng, rau tươi và nước mắm hoặc mắm nêm chấm đậm đà.

Thích nhất món chè khúc bạch tráng miệng, ăn nhiều nơi vẫn thấy chỗ này ngon nhất.

Ngồi trên lầu máy lạnh thoải mái.

Bảo vệ chạy xe đi gửi giùm, giá 3k/chiếc."
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,4.2,Hôm nay đang ăn cuốn thấy con giun đang quẫy trong nửa cuốn còn lại 😭😭😭😭 đề nghị rửa rau sạch hơn
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,8.6,"Book trên Tablenow được giảm 10%. Thịt vẫn rất ngon, chất lượng ổn định không thay đổi. Bánh tráng vẫn là đỉnh nhất, dai dai sực sực. Mắm nêm chấm vừa miệng. Có cả bún và đồ chua để cuốn chung. Hai ụ rau to đùng hết hồn :))))
Bò tơ***đỉnh lắm. Thịt bắp cũng ngon. Đi 3 người gọi 3 phần nhỏ là vừa ăn nha. Thề. Nhìn có xíu xiu mà ăn no căng 3 đứa.
Nước mía tắc uống cũng được.
Phòng điều hoà mát lạnh. Nhân viên thì hơi cứng nhắc nhưng làm việc nhanh nhẹn, cần là có ngay.
Tới đây rồi phải ăn khúc bạch nha :)))"
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,3.2,"Tô bún 72k mà cục giò thua quán 30k, đã vậy cho thêm cục mỡ chà bá vô ko hiểu để làm gì.
Kêu tính tiền thì 15 phút chưa tính, nhân viên đứng bấm đt, đến khi gọi được bà thím quản lý ra tính thì trả lời khách kiểu đối đáp."
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,1.8,"Quá tệ. Bánh canh thịt nạc lúc trước 44k thầy 2, 3 lần ăn đều ok nên mình tin tưởng. 

Ai dè hôm nay lên tận 55k. Gọi đại, lúc giao tới thì bánh canh ít xỉn, bắng 1 nửa lúc trước. 

Làm ăn kiểu gì vậy ? Có muốn giữ khách nữa hay là không vậy ?"
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,8.0,"Follow instagram: TEAMNHAUHOLIC để biết thêm những quán ăn ngon và câu chuyện ẩm thực của chúng mình nhé!


ĂN RỒI LẠI MUỐN ĂN THÊM - BÁNH TRÁNG TRẢNG BÀNG HOÀNG TỴ
.
💥Ở Sài Gòn đi foodtour thật sướng, có đủ các món khắp các tỉnh thành, tha hồ ăn. Thích thật!
Bánh tráng Trảng Bàng Hoàng Tỵ thì có tiếng lắm rồi, ở Sài Gòn cũng vài cơ sở mà chỗ nào cũng to rộng điều hoà mát rượi. Vị trí thì trung tâm. Chỗ này mình khá là tâm đắc, phù hợp ăn trưa, ăn tối, ăn gia đình đều okie. 
.
💥Menu thì nhiều món lắm, nhưng chúng mình chỉ tập trung chuyên môn là bánh tráng phơi sương Trảng Bàng cuốn thịt chân giò luôc và bò nướng lá lốt. Tâm điểm là một rổ rau rất rất to, và xanh mát, nhìn thôi đã thấy đã mắt rồi. Ăn rau cho mát ruột! Mình thấy có nhiều loại rau mà HN không có luôn í. 
.
💥Thịt chân giò luộc mềm. Bò nướng thì thơm thơm. Gói cùng rau, đồ chua, chuối xanh, khế rồi chấm nước mắm ớt hoặc mắm (tuỳ khách) ăn rất chi là vào. Vị của các nguyên liệu trộn vào nhau cực hoà hợp. Mà cái bánh tráng ở đây hay thật (đúng là đặc sản địa phương có khác), độ dai vừa đủ để cuốn không bị rách mà khi cắn và nhai lại như ‘tan ra trong miệng'.
.
💥Phục vụ nhanh. Thêm điểm cộng nữa cho nhà hàng là có bố trí sẵn nước rửa tay khô ở chân cầu thang cho khách - vì nhà hàng chuyên hệ cuốn mà! Thật là có tâm!!!
.
------
💰Giá: 150-200k/ người
🎯Địa chỉ: Nhiều chi nhánh. Mình ăn ở số 1 Nguyễn Hữu Cầu - Quận 1 - TP. HCM
------"
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,1.0,"After this comment i will delete now app and never use again. Your discount is just a scam and the support service like sh**. Just want all of you to be careful with your orders.
I ordered 2 dishes w the promo code. After they confirmed on POS also the delivery men came to restaurant, they called me to inform only 1 dish left and asked me to confirm without suggesting if any changes or cancellation, i agreed and questioned the returning but yup they hang up on me.
Later, i contacted to Now and they said I need to pay 5k more?! (Wtf that means). As they explained my order is not reached the amount for promotion (sr dude, i’m not the one who cancelled or cut out the dishes).
So i think they’re cheating on us (both restaurant and foody) also their promotions just are scam at all.

Quán này hay foody lừa đảo ng dùng hả? Đặt 2 món nhập kmai, Confirmed POS cho đã xong lúc tài đến quán thì gọi cho khách báo hết 1 món, k hỏi muốn đổi trả hay k kêu lấy 1 món nhé, mình ok hỏi lại vậy tiền thiếu món ntn thì cúp máy. Linh tính mách bảo gọi lại để cancel thì tài kêu đi 1/2 đường??? Phản ánh thì y rằng k những nhận đc tiền thiếu món còn bắt thêm 5k vì k đủ số tiền để nhận km. Wtf?!! 
Hết món sao ban đầu confirm pos?
Hết món sao gọi khách k hỏi đổi món hay cancel k? Ép ng ta lấy xong khách hỏi có nhận tiền thừa k thì cúp máy? Làm ăn mập mờ tính ăn luôn tiền 2 món. 
Còn foody k hỗ trợ khách còn ép khách nhận món và vòi thêm 5k là sao??? Khách là ng kêu hết món à??
Làm ăn gian dối, chung tay lừa đảo nhau hả?? Khách hàng là những con chuột dễ bị làm thịt??"
Hoàng Ty Group - Đặc sản Trảng Bàng - Nguyễn Hữu Cầu,https://www.foody.vn/ho-chi-minh/hoang-ty-dac-san-trang-bang-nguyen-huu-cau,5.0,"Gọi 2 to bún bò, 45 ph chưa mang lên, phải nhắc mấy lần. Tính tiền cũng phải chờ thối hết hơn 10ph"
Bún Mắm Miền Tây - Trần Quang Khải,https://www.foody.vn/ho-chi-minh/bun-mam-mien-tay-tran-quang-khai,8.6,"Vị bún mắm rất đậm đà, rất sát vị miền tây thật luôn vì mình cũng vừa phượt miền tây về 😍 ah chủ quán rất nhiệt tình luôn, chân chất nữa... nhưng bị cái là quán vỉa hè nha mn, nên địa chỉ hơi khó nhìn ak, nhưng đâu đó cũng số 78 thôi à ahihi"
Cô Năm - Bánh Xèo Miền Tây,https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,8.6,"Nhân ngày trời mưa, thèm ăn gì nóng nóng, thơm thơm nên m tình cờ ghé vào quán bánh khọt Cô Năm Bánh Xèo ăn. Quán bán bánh xèo, bánh khọt, mỳ xào bò, gỏi cuốn,.. 
🌼 Món đầu bọn M thử là bánh khọt, món này nghe đc khen nhất quán, M tới ăn chị chủ mới đổ bánh, K sợ bánh cũ nhé, bánh size vừa, ăn K hề bị ngán luôn, nc cốt dừa thơm béo, ăn cực phê luôn, rau xanh, sạch rất tươi nhé, M rất ngại nhiều quán rau xanh nhìn K đc bắt mắt, héo, rửa dơ, nhưng ở đây thì nhìn rất sạch, hợp vsinh, con tôm rất chất lượng so với giá tiền bỏ ra nhé. Nc mắm thì cực hợp vị vs mình, ngon K mặn quá, rất dễ ăn. M nghe ns đồ chua trong nc mắm là c chủ tự làm, kp mua ngoài chợ, an tâm ăn nha mng. 
🌼 Tiếp là mỳ xào bò, nhai bò sướng miệng luôn các b ơi, chỉ có 35k 1 đĩa, mỳ vừa tới ăn k hề bị nhũn, rau xanh chín tới dòn dòn, bò K hề bị dai. Ăn 1 đĩa là chất lượng luôn. 
Mình thấy còn gỏi cuốn, nghe ns tương chị chủ tự làm, mà no quá nên m chưa thử. Mốt m sẽ ghé thử thêm các món còn lại vì quá chất lượng và hợp vệ sinh."
Cô Năm - Bánh Xèo Miền Tây,https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,8.6,"Bữa mình đi qua quán trời cũng tối nhưng cô chủ đây rất dễ thương, bán cho mình xin thêm cũng không cằng nhằng gì mình ăn bánh khọt đây mình thấy béo lắm với ngon nữa, nước dừa siêu béo luôn. 
Bánh xèo cũng rất ngon , quán nhỏ nhưng sạch sẽ lắm 
Có nhiều bạn vào mình thấy bất lịch sự lắm bắt đổi đi đổi lại thái độ này nọ.Bánh kêu cô mới đổ không cô không đổ trước đâu . Bởi vậy ăn nóng hổi luôn, mình thấy giá cả cũng khá hợp lí một khuôn bánh khọt 35k với bánh xèo 40 mà trà đá ở đây miễn phí nữa tổng thiệt hại của mình là 75k cho hai ng
Mình thấy cô bán nhiều lắm shipper tới liên tục ấy, lần sau mình sẽ ghé ăn thêm mấy món xào của cô ."
Cô Năm - Bánh Xèo Miền Tây,https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,3.2,"Đang đi bẻn quận 1 đột nhiên thèm bánh xèo nên ghed vào đây ăn. Thất ko ngờ là 1 trải nghiệm tồi tệ.
Mình vào lúc 8h30 có vẻ quán đã chuẩn bị đóng nhưng mình hỏi còn bán ko thì cô chủ bảo còn. Mình ord 1 bánh xèo và 1 dĩa bánh khọt.
- bánh xèo giòn. Đc 3 con tôm. Ngấm dầu khá nhiều nên ăn ngấy.
- nước mắm rất nhạt nhẽo.
- bánh khọt: mình cảm giác như là bánh chiên đi chiên lại nhiều lần, vỏ bánh cháy đen thui, dừa thì hơi chua và tôm khô queo nhue tôm khô, mình có phản hồi thì đổi cho mình 3 cái bánh khọt khác có vẻ ít cháy hơn nhưng nguội ngắt, ăn vào mùi vị rất chán nản.
Mình nghĩ do sắp đóng cửa nên mọi thứ đều là bòn mót sót lại. Huhu bữa ăn gây ám ảnh bà hoàn toàn ko đáng 80k"
Cô Năm - Bánh Xèo Miền Tây,https://www.foody.vn/ho-chi-minh/co-nam-banh-xeo-mien-tay,6.4,"Các cô đều là người miền tây cả nên thân thiện hiền lành. mình đến lần đầu thì mấy cô vừa dọn hàng đóng cửa, lần này quay lại sớm hơn tầm 7h30 mới đc nếm thử. mình gọi 1 phần bánh xèo và 2 bánh khọt, 35k/phần đc 8 cái bánh khọt. chảo dầu sạch sẽ, mình gọi rồi mấy cô mới bắt đầu làm nên đồ ăn nóng hổi. Cả bánh xèo và bánh khọt đều không ngon, tôm mập thơm nhưng mà cốt dừa bị chua nên ăn vị kì quá, ăn xong về chồng mình bị đau bụng luôn. rau sống mấy cô rửa xong ko vẩy rau nên rau sũng nước, ngồi ăn phải vẩy lại rất phiền. mắm không ngon. quán nhỏ, phục vụ dễ chịu."
